time,speed,SRI
2018-03-05,31.0,
2018-03-06,28.0,
2018-03-07,32.0,
2018-03-08,31.0,3.1028836234423354
2018-03-09,36.0,-2.615156626111448
2018-03-10,29.0,5.67096235405852
2018-03-11,36.0,0.37359380373020223
2018-03-12,29.0,6.510995758895675
2018-03-13,36.0,-0.6083420182036292
2018-03-14,36.0,0.003086936564092868
2018-03-15,33.0,2.4898066121927673
2018-03-16,33.0,3.209074980759471
2018-03-17,33.0,1.8392310337487172
2018-03-18,33.0,3.2857096071656677
2018-03-19,34.0,0.22695639358758513
2018-03-20,30.0,5.215889588667288
2018-03-21,35.0,-0.4567208218730867
2018-03-22,31.0,4.022499140316686
2018-03-23,32.0,2.4427287166975074
2018-03-24,31.0,3.371923561872636
2018-03-25,36.0,-0.3927524603317534
2018-03-26,31.0,3.292341449835432
2018-03-27,32.0,3.6831970605433604
2018-03-28,35.0,0.4628946950012658
2018-03-29,31.0,4.022499140316686
2018-03-30,36.0,-1.0824640979875189
2018-03-31,31.0,4.291539078746997
2018-04-01,33.0,3.8987866184152367
2018-04-02,33.0,2.5259951857734686
2018-04-03,35.0,1.0776197627326933
2018-04-04,36.0,-0.1501823162483018
2018-04-05,33.0,3.256152876254731
2018-04-06,35.0,0.7567669357611928
2018-04-07,30.0,5.057885342808952
2018-04-08,36.0,-0.6992909659565383
2018-04-09,31.0,2.832533691398252
2018-04-10,31.0,3.223389302106181
2018-04-11,30.0,4.7544337737482545
2018-04-12,32.0,1.8767296009431989
2018-04-13,32.0,2.1361902110727238
2018-04-14,33.0,1.3794232753115376
2018-04-15,33.0,3.4389788599780635
2018-04-16,33.0,1.606379668899116
2018-04-17,36.0,-0.30180351257883764
2018-04-18,33.0,2.455394981562371
2018-04-19,31.0,4.788845404378658
2018-04-20,35.0,-0.16284858111316858
2018-04-21,30.0,4.291539078746989
2018-04-22,36.0,-0.5460217131441492
2018-04-23,29.0,5.284841736396539
2018-04-24,33.0,1.5374275211698663
2018-04-25,33.0,1.5357794646880196
2018-04-26,31.0,3.256152876254731
2018-04-27,33.0,1.0633054413859766
2018-04-28,30.0,3.218654309060245
2018-04-29,35.0,-0.6992909659565383
2018-04-30,29.0,4.058687713897392
2018-05-01,29.0,4.9093510830425
2018-05-02,32.0,1.8423179703127956
2018-05-03,31.0,2.1832681065679838
2018-05-04,33.0,-0.46938708673795126
2018-05-05,31.0,1.3794232753115376
2018-05-06,32.0,2.212824837478916
2018-05-07,26.0,7.124072770145242
2018-05-08,30.0,3.0701200492937977
2018-05-09,34.0,-0.916528580310263
2018-05-10,32.0,0.9571140840688475
2018-05-11,29.0,5.201575267320571
2018-05-12,33.0,1.3794232753115299
2018-05-13,32.0,3.4389788599780635
2018-05-14,33.0,0.38022564639997314
2018-05-15,36.0,-1.5279575350779817
2018-05-16,30.0,4.294626015311078
2018-05-17,30.0,3.5626913818795147
2018-05-18,32.0,0.603497682948797
2018-05-19,29.0,3.218654309060245
2018-05-20,29.0,4.358594376852416
2018-05-21,28.0,4.671764725146964
2018-05-22,35.0,-1.8344960407027644
2018-05-23,27.0,7.360011071558934
2018-05-24,36.0,-1.9550017193666114
2018-05-25,33.0,1.9829209582603358
2018-05-26,33.0,1.5326925281239334
2018-05-27,33.0,3.7455173656028484
2018-05-28,33.0,1.2998411632743323
2018-05-29,35.0,0.31127349867072995
2018-05-30,31.0,3.9880875096862987
2018-05-31,31.0,3.8692298875042983
2018-06-01,35.0,-0.46938708673795126
2018-06-02,29.0,5.670962354058528
2018-06-03,34.0,2.519363343103703
2018-06-04,33.0,2.5259951857734766
2018-06-05,36.0,-0.14853425976644852
2018-06-06,35.0,1.229240959063237
2018-06-07,35.0,0.9571140840688397
2018-06-08,33.0,3.209074980759471
2018-06-09,31.0,4.4448083315593845
2018-06-10,34.0,2.825901848728487
2018-06-11,34.0,0.8400334048371527
2018-06-12,33.0,2.457043038044225
2018-06-13,35.0,-0.3034515690606976
2018-06-14,33.0,1.4169218425060193
2018-06-15,31.0,3.362344233571867
2018-06-16,27.0,6.590577870932883
2018-06-17,33.0,1.1399400677921734
2018-06-18,33.0,-1.1524668817239503
2018-06-19,29.0,4.602812577417716
2018-06-20,31.0,3.0684719928119386
2018-06-21,29.0,5.095383910003438
2018-06-22,35.0,-1.6955411092370953
2018-06-23,31.0,2.7588465506230655
2018-06-24,34.0,1.139940067792169
2018-06-25,31.0,2.985802944210648
2018-06-26,33.0,1.84396602679465
2018-06-27,31.0,4.447895268123471
2018-06-28,31.0,3.8692298875042983
2018-06-29,36.0,-1.5422718564246995
2018-06-30,34.0,-0.4598077584371807
2018-07-01,32.0,3.8987866184152367
2018-07-02,31.0,3.1390721970230437
2018-07-03,29.0,6.13550510554164
2018-07-04,35.0,-0.3034515690606976
2018-07-05,30.0,5.248653162815831
2018-07-06,36.0,-1.0824640979875189
2018-07-07,34.0,1.6859617809363214
2018-07-08,35.0,1.9062863318541279
2018-07-09,32.0,3.598879955460216
2018-07-10,36.0,0.004734993045938385
2018-07-11,33.0,2.1488564759375794
2018-07-12,31.0,4.022499140316686
2018-07-13,35.0,-0.7759255923627362
2018-07-14,27.0,6.590577870932879
2018-07-15,35.0,-0.6992909659565427
2018-07-16,29.0,4.365226219522179
2018-07-17,31.0,2.763581543669009
2018-07-18,31.0,3.2217412456243313
2018-07-19,33.0,0.8038448312564483
2018-07-20,33.0,1.8296517054479322
2018-07-21,30.0,4.904616089996564
2018-07-22,35.0,1.5997478262293519
2018-07-23,36.0,-0.6926591232867674
2018-07-24,33.0,2.916850796481405
2018-07-25,34.0,2.1488564759375874
2018-07-26,36.0,-0.2690399384302955
2018-07-27,30.0,5.048306014508174
2018-07-28,32.0,2.452308044998277
2018-07-29,35.0,0.8334015621673896
2018-07-30,29.0,4.82503397795936
2018-07-31,33.0,1.84396602679465
2018-08-01,34.0,1.0759717062508412
2018-08-02,31.0,3.7159606346919105
2018-08-03,33.0,1.5231131998231562
2018-08-04,34.0,0.45980775843718513
2018-08-05,33.0,2.979171101540883
2018-08-06,29.0,5.591380242021322
2018-08-07,36.0,-0.7616112710160183
2018-08-08,33.0,2.7619334871871546
2018-08-09,31.0,4.942114657191046
2018-08-10,35.0,1.3698439470107615
2018-08-11,36.0,-0.6130770112495698
2018-08-12,35.0,2.519363343103703
2018-08-13,34.0,2.5259951857734766
2018-08-14,33.0,3.989735566168152
2018-08-15,36.0,-0.30345156906069093
2018-08-16,35.0,0.6505755784440559
2018-08-17,32.0,3.209074980759471
2018-08-18,29.0,5.364423848433736
2018-08-19,36.0,-1.3123679772061125
2018-08-20,30.0,2.832533691398252
2018-08-21,29.0,4.602812577417713
2018-08-22,31.0,3.0684719928119355
2018-08-23,31.0,2.6430758650051556
2018-08-24,31.0,2.5959979695098956
2018-08-25,33.0,2.220446049250313e-15
2018-08-26,35.0,-0.08621395470697069
2018-08-27,30.0,4.211956966709791
2018-08-28,29.0,6.595312863978819
2018-08-29,34.0,1.2292409590632292
2018-08-30,35.0,-0.2690399384302955
2018-08-31,34.0,0.7567669357611928
2018-09-01,33.0,2.299038792185889
2018-09-02,34.0,2.2128248374789194
2018-09-03,30.0,4.058687713897395
2018-09-04,35.0,-1.0681497766408055
2018-09-05,30.0,3.988087509686291
2018-09-06,30.0,3.7159606346919025
2018-09-07,30.0,3.822151992009035
2018-09-08,31.0,1.685961780936317
2018-09-09,34.0,0.22032455091781422
2018-09-10,31.0,1.9129181745238932
2018-09-11,31.0,3.223389302106181
2018-09-12,31.0,3.528279751249115
2018-09-13,31.0,3.409422129067119
2018-09-14,33.0,0.9100361885735853
2018-09-15,33.0,0.306538505624786
2018-09-16,35.0,-0.23948320751936203
2018-09-17,29.0,5.131572483584136
2018-09-18,30.0,4.602812577417716
2018-09-19,31.0,3.528279751249115
2018-09-20,35.0,-1.3419247081170482
2018-09-21,31.0,2.902536475134687
2018-09-22,33.0,0.45980775843717736
2018-09-23,33.0,2.3660940902913072
2018-09-24,29.0,4.058687713897395
2018-09-25,31.0,2.6103122908566165
2018-09-26,33.0,0.7694332006260529
2018-09-27,29.0,4.788845404378654
2018-09-28,30.0,4.588498256071003
2018-09-29,35.0,-1.2261540224991374
2018-09-30,33.0,2.825901848728487
2018-10-01,35.0,-0.38612061766199135
2018-10-02,31.0,4.756081830230117
2018-10-03,35.0,-0.4567208218730867
2018-10-04,33.0,1.1103833368812321
2018-10-05,30.0,3.2090749807594676
2018-10-06,29.0,3.5251928146850284
2018-10-07,31.0,2.519363343103703
2018-10-08,28.0,3.7521492082726082
2018-10-09,29.0,4.14300481898054
2018-10-10,32.0,1.0759717062508334
2018-10-11,31.0,2.029998853755588
2018-10-12,34.0,-1.0824640979875233
2018-10-13,30.0,3.2186543090602484
2018-10-14,32.0,2.6726325959160913
2018-10-15,29.0,4.365226219522173
2018-10-16,32.0,1.5374275211698618
2018-10-17,32.0,2.455394981562363
2018-10-18,32.0,2.0299988537555835
2018-10-19,31.0,3.2090749807594676
2018-10-20,36.0,-3.0653850562478535
2018-10-21,31.0,4.052055871227628
2018-10-22,30.0,4.058687713897387
2018-10-23,29.0,5.5224280942920725
2018-10-24,33.0,0.6161639478136616
2018-10-25,36.0,-2.5680787306161856
2018-10-26,28.0,5.814652278570143
2018-10-27,32.0,1.3794232753115376
2018-10-28,33.0,1.599747826229344
2018-10-29,29.0,3.44561070264782
2018-10-30,31.0,2.1505045324194336
2018-10-31,31.0,1.995587223125188
2018-11-01,31.0,1.4169218425060115
2018-11-02,28.0,5.354844520132962
2018-11-03,31.0,1.685961780936317
2018-11-04,31.0,3.592248112790448
2018-11-05,34.0,-0.9991976289115589
2018-11-06,31.0,3.2233893021061855
2018-11-07,33.0,1.382510211875625
2018-11-08,33.0,1.4169218425060193
2018-11-09,29.0,5.508113772945363
2018-11-10,33.0,1.0728847696867527
2018-11-11,33.0,2.0595555846665317
2018-11-12,33.0,0.22695639358758513
2018-11-13,33.0,1.3841582683574738
2018-11-14,29.0,5.214241532185431
2018-11-15,32.0,1.0337487104750342
2018-11-16,31.0,1.1399400677921745
2018-11-17,30.0,1.6093271545301269
2018-11-18,28.5,4.971671388101983
2018-11-19,27.0,4.901668604365553
2018-11-20,32.0,0.23463887226452873
2018-11-21,30.0,2.2254911023437773
2018-11-22,32.0,0.49730632563166455
2018-11-23,30.0,2.595997969509903
2018-11-24,29.0,2.9121158034354613
2018-11-25,33.0,-0.2394832075193576
2018-11-26,27.0,4.058687713897395
2018-11-27,30.0,1.690696773982262
2018-11-28,27.0,5.214241532185434
2018-11-29,29.0,2.1832681065679793
2018-11-30,30.0,1.369843947010757
2018-12-01,31.0,0.306538505624786
2018-12-02,29.0,4.511863629664804
2018-12-03,29.0,3.1390721970230406
2018-12-04,33.0,-0.7616112710160206
2018-12-05,30.0,2.148856475937584
2018-12-06,31.0,0.8038448312564483
2018-12-07,27.0,5.354844520132962
2018-12-08,29.0,2.7588465506230655
2018-12-09,29.0,3.8987866184152367
2018-12-10,31.0,0.07368714077518934
2018-12-11,33.0,-0.9148805238284141
2018-12-12,27.0,5.827318543435003
2018-12-13,31.0,1.416921842506016
2018-12-14,29.0,3.2090749807594676
2018-12-15,31.0,-2.220446049250313e-15
2018-12-16,30.0,3.438978859978057
2018-12-17,29.0,2.2194566801486806
2018-12-18,29.0,2.916850796481402
2018-12-19,32.0,-0.7632593274978738
2018-12-20,27.0,4.175768393129083
2018-12-21,28.0,3.0558057279470754
2018-12-22,28.0,2.7588465506230655
2018-12-23,29.0,2.6726325959160957
2018-12-24,29.0,2.3727259329610764
2018-12-25,30.0,2.3037737852318294
2018-12-26,28.0,4.294626015311078
2018-12-27,36.0,-3.947502005927719
2018-12-28,29.0,3.8221519920090397
2018-12-29,27.0,5.977500859683311
2018-12-30,33.0,1.5997478262293485
2018-12-31,31.0,1.4531104160867214
2019-01-01,33.0,0.7710812571079095
2019-01-02,31.0,3.2217412456243313
2019-01-03,32.0,1.8767296009431955
2019-01-04,33.0,0.4502284301364057
2019-01-05,29.0,3.9850005731222082
2019-01-06,33.0,0.6801323093549938
2019-01-07,29.0,2.6792644385858644
2019-01-08,31.0,0.7710812571079062
2019-01-09,27.0,4.90770302656065
2019-01-10,28.0,2.6430758650051587
2019-01-11,29.0,1.0633054413859766
2019-01-12,28.0,1.6859617809363214
2019-01-13,27.0,4.6651328824772
2019-01-14,26.0,4.211956966709788
2019-01-15,31.0,0.004734993045942826
2019-01-16,29.0,1.9955872231251914
2019-01-17,29.0,2.7963451178175514
2019-01-18,31.0,1.0633054413859733
2019-01-19,27.0,5.211154595621348
2019-01-20,34.0,-0.6992909659565383
2019-01-21,29.0,2.985802944210648
2019-01-22,33.0,-0.9148805238284141
2019-01-23,29.0,3.6815490040615106
2019-01-24,29.0,2.9496143706299427
2019-01-25,28.0,3.668882739196647
2019-01-26,29.0,1.685961780936317
2019-01-27,31.0,1.4464785734169527
2019-01-28,27.0,3.9054184610849996
2019-01-29,30.0,1.3841582683574738
2019-01-30,31.0,0.15635618937648088
2019-01-31,28.0,3.1028836234423354
2019-02-01,27.0,4.281959750446215
2019-02-02,28.0,2.605577297810673
2019-02-03,31.0,0.6801323093549938
2019-02-04,28.0,2.3727259329610764
2019-02-05,29.0,2.763581543669006
2019-02-06,29.0,2.608664234374759
2019-02-07,29.0,2.3365373593803715
2019-02-08,31.0,0.45022843013640124
2019-02-09,27.0,3.985000573122205
2019-02-10,31.0,1.2932093206045614
2019-02-11,30.0,0.38022564639997314
2019-02-12,27.0,4.296274071792933
2019-02-13,29.0,2.4553949815623675
2019-02-14,27.0,3.715960634691907
2019-02-15,30.0,0.603497682948797
2019-02-16,29.0,2.299038792185889
2019-02-17,27.0,6.351094663413514
