time,speed,SRI
2018-03-05,36.0,
2018-03-06,35.0,
2018-03-07,34.0,
2018-03-08,34.0,1.3531529837395662
2018-03-09,35.0,0.6384918479849266
2018-03-10,35.0,0.37202581781563215
2018-03-11,35.0,0.6847867377403394
2018-03-12,35.0,0.23004761152368158
2018-03-13,33.0,2.124945321227134
2018-03-14,36.0,-0.2003349176374125
2018-03-15,36.0,0.036993594618400794
2018-03-16,36.0,0.23351972825533474
2018-03-17,33.0,2.5993724763283654
2018-03-18,36.0,0.48230067787554565
2018-03-19,36.0,-0.17492450820590477
2018-03-20,36.0,0.20132775251159307
2018-03-21,35.0,1.217067501416148
2018-03-22,36.0,0.23947965448319342
2018-03-23,36.0,0.031033668390541003
2018-03-24,36.0,-0.3366753917111476
2018-03-25,32.0,2.709647336388279
2018-03-26,33.0,1.3437209407800477
2018-03-27,33.0,1.7199732014975477
2018-03-28,36.0,-0.40282097750220514
2018-03-29,36.0,0.13823662455079488
2018-03-30,36.0,0.537248818052527
2018-03-31,36.0,0.7769979375452185
2018-04-01,36.0,0.887272797605132
2018-04-02,36.0,0.23004761152368158
2018-04-03,36.0,0.6062998722411816
2018-04-04,36.0,0.4071232619569687
2018-04-05,36.0,0.5432087442803812
2018-04-06,36.0,0.6384918479849211
2018-04-07,34.0,1.9919142967339798
2018-04-08,36.0,0.381057647943146
2018-04-09,36.0,-0.5798966279354967
2018-04-10,36.0,-0.2036443672179944
2018-04-11,33.0,2.1282547708077217
2018-04-12,33.0,2.0112326783001433
2018-04-13,36.0,-0.5258029962376431
2018-04-14,36.0,-0.8935120563393362
2018-04-15,33.5,1.2922449173347195
2018-04-16,31.0,2.7105018448674114
2018-04-17,33.0,1.6693516865313507
2018-04-18,36.0,-0.5546855224008018
2018-04-19,36.0,-0.16549246524639738
2018-04-20,36.0,0.13227669832294064
2018-04-21,35.0,1.0807270273424119
2018-04-22,36.0,0.48230067787554565
2018-04-23,33.0,1.9511791203744333
2018-04-24,36.0,0.20132775251159307
2018-04-25,36.0,0.2046372020921805
2018-04-26,36.0,0.13823662455079488
2018-04-27,36.0,0.4360057881201329
2018-04-28,35.0,1.0807270273424119
2018-04-29,34.0,1.899703096929105
