time,speed,SRI
2018-03-05,35.0,
2018-03-06,35.0,
2018-03-07,33.0,
2018-03-08,33.0,2.582116452716373
2018-03-09,33.0,2.1150618861956105
2018-03-10,35.0,-0.046184757420830724
2018-03-11,35.0,-0.19118742413653855
2018-03-12,31.0,2.7915915695001283
2018-03-13,32.0,2.626362279410105
2018-03-14,32.0,2.4094737522796104
2018-03-15,33.0,1.291058226358186
2018-03-16,35.0,0.17847454665832707
2018-03-17,33.0,1.675226211056755
2018-03-18,31.0,3.4668108838783263
2018-03-19,35.0,0.639827858903147
2018-03-20,35.0,0.15183401222358173
2018-03-21,35.0,-0.06505451490691261
2018-03-22,35.0,-0.10758818552985216
2018-03-23,27.0,5.880648379740316
2018-03-24,31.0,1.9979907676462982
2018-03-25,30.0,2.3909290285798313
2018-03-26,35.0,-1.4043476661639809
2018-03-27,30.0,3.3794795781190468
2018-03-28,32.0,1.6563564535706665
2018-03-29,35.0,-0.3227645565895476
2018-03-30,33.0,0.39365091771802474
2018-03-31,29.0,3.1814608084746365
2018-04-01,32.0,0.5619298745724044
2018-04-02,28.0,3.1143561260896737
2018-04-03,31.0,1.227715867522069
2018-04-04,29.0,2.839826494399005
2018-04-05,31.0,1.2910582263581805
2018-04-06,33.0,0.17847454665832263
2018-04-07,30.0,2.320755324235846
2018-04-08,31.0,2.1757526575201345
2018-04-09,32.0,1.8232978997314886
2018-04-10,33.0,1.3353040530519178
2018-04-11,35.0,-0.17264270043676255
2018-04-12,35.0,-0.376558649354477
2018-04-13,32.0,1.3081504947217382
2018-04-14,30.0,2.6973139735903198
2018-04-15,28.5,3.1440463272887786
2018-04-16,27.0,3.813679332033689
2018-04-17,35.0,-1.7309592345487723
2018-04-18,29.0,2.8936205871639276
2018-04-19,31.0,2.044175525067126
2018-04-20,33.0,1.3619445874866631
2018-04-21,31.0,2.320755324235846
2018-04-22,34.0,0.34675350351270784
2018-04-23,35.0,-0.22087762533564037
2018-04-24,33.0,1.873244980701163
2018-04-25,32.0,2.83982649439901
2018-04-26,33.0,2.2593518961268244
2018-04-27,35.0,0.5012391032478758
2018-04-28,33.0,1.4600498399970585
2018-04-29,35.0,0.23916531798285567
2018-04-30,33.0,1.608121528671792
2018-05-01,31.0,2.8415386504698015
2018-05-02,35.0,-0.6029954425561579
2018-05-03,32.0,1.7214109684775791
2018-05-04,29.0,4.15923741126273
2018-05-05,29.0,4.257342663773124
2018-05-06,35.0,-0.7291283517857838
2018-05-07,35.0,-0.7588185529848857
2018-05-08,35.0,0.04424582669373067
2018-05-09,31.0,3.485355607578101
2018-05-10,32.0,2.582116452716373
2018-05-11,33.0,1.5771209585463608
2018-05-12,33.0,1.244873468937362
2018-05-13,33.0,1.5302235443410428
2018-05-14,33.0,1.8232978997314886
2018-05-15,35.0,0.9049513109325236
2018-05-16,34.0,1.3335918969811211
2018-05-17,35.0,0.21517637105969545
2018-05-18,35.0,-0.6822309375804658
2018-05-19,30.0,2.75110806635524
2018-05-20,29.0,3.574399069408173
2018-05-21,25.0,6.342001691985141
2018-05-22,35.0,-0.9240478430749066
2018-05-23,35.0,-1.033348184675551
2018-05-24,33.0,0.3227645565895443
2018-05-25,34.0,0.17847454665832707
2018-05-26,29.0,3.073872622944789
2018-05-27,27.0,4.327516368117111
2018-05-28,31.0,0.8550042299628469
2018-05-29,30.0,2.08842135176086
2018-05-30,33.0,-0.2802308859666125
2018-05-31,29.0,3.442821936955162
2018-06-01,35.0,-1.004995494170009
2018-06-02,28.0,4.364930849302976
2018-06-03,33.0,0.5619298745724044
2018-06-04,32.0,1.9308860852613396
2018-06-05,34.0,0.7973631254026781
2018-06-06,33.0,2.086709195690063
2018-06-07,35.0,0.8607054842387918
2018-06-08,35.0,0.6088272887777213
2018-06-09,33.0,1.8904025821164527
2018-06-10,35.0,0.5619298745724044
2018-06-11,30.0,4.297826166918012
2018-06-12,35.0,0.9049513109325236
2018-06-13,35.0,0.9032391548617269
2018-06-14,35.0,0.7531172987089407
2018-06-15,35.0,1.2543564019568176
2018-06-16,33.0,2.428343509765697
2018-06-17,33.0,2.390929028579837
2018-06-18,35.0,0.7474160444329991
2018-06-19,35.0,0.15183401222358173
2018-06-20,35.0,0.36529822721248717
2018-06-21,34.0,1.3986464118880315
2018-06-22,26.0,6.956530235038806
2018-06-23,35.0,-0.9068902416596214
2018-06-24,35.0,-1.374657464964879
2018-06-25,31.0,1.7157097142016375
2018-06-26,28.0,5.316066917656325
2018-06-27,31.0,2.9474146799288503
2018-06-28,35.0,-0.2151763710597021
2018-06-29,35.0,-0.46705456652076816
2018-06-30,34.0,0.7069325412881111
2018-07-01,33.0,1.2074589877515007
2018-07-02,29.0,3.3295324971493736
2018-07-03,35.0,-0.9240478430749066
2018-07-04,29.0,3.270179236518401
2018-07-05,27.0,5.056644719902894
2018-07-06,34.0,0.17847454665832707
