time,speed,SRI
2018-03-05,33.0,
2018-03-06,31.0,
2018-03-07,32.0,
2018-03-08,32.0,2.678467365967361
2018-03-09,31.0,3.921911421911429
2018-03-10,33.0,1.1361208236208264
2018-03-11,33.0,1.6341297591297677
2018-03-12,33.0,1.5909090909090917
2018-03-13,33.0,1.1519287164448477
2018-03-14,33.0,1.8190841416647907
2018-03-15,33.0,0.8602855477855476
2018-03-16,29.0,5.96736596736597
2018-03-17,33.0,-0.4547882672882708
2018-03-18,30.0,4.58867521367522
2018-03-19,29.0,5.909090909090915
2018-03-20,33.0,-0.2117076471915169
2018-03-21,33.0,0.45544777802842495
2018-03-22,33.0,0.8602855477855476
2018-03-23,30.0,6.194638694638695
2018-03-24,33.0,-0.00024281274280557597
2018-03-25,33.0,0.2704933954934019
2018-03-26,33.0,-0.45454545454545414
2018-03-27,27.0,9.33374689826303
2018-03-28,33.0,0.4554477780284194
2018-03-29,31.0,2.4511946386946337
2018-03-30,31.0,1.8764568764568723
2018-03-31,33.0,-0.4547882672882708
2018-04-01,29.0,6.1795843045843055
2018-04-02,32.0,1.5909090909090862
2018-04-03,31.0,3.6519287164448477
2018-04-04,33.0,0.228175050755699
2018-04-05,33.0,-0.2760780885780867
2018-04-06,33.0,-1.7599067599067597
2018-04-07,29.0,4.090666278166278
2018-04-08,28.0,5.952311577311579
2018-04-09,27.0,6.590909090909095
2018-04-10,29.0,2.515565080081208
2018-04-11,33.0,-3.180915858335218
2018-04-12,30.0,1.3148310023310006
2018-04-13,29.0,2.5582750582750577
2018-04-14,29.0,2.4997571872571864
2018-04-15,28.0,4.361402486402487
2018-04-16,27.0,5.681818181818183
2018-04-17,29.0,2.515565080081208
2018-04-18,33.0,-3.180915858335218
2018-04-19,30.0,1.9966491841491807
2018-04-20,29.0,3.694638694638691
2018-04-21,29.0,4.090666278166273
2018-04-22,31.0,0.9523115773115709
2018-04-23,29.0,3.6363636363636322
2018-04-24,31.0,0.015565080081197946
2018-04-25,32.0,-0.6809158583352182
2018-04-26,29.0,4.269376456876458
2018-04-27,27.0,6.876456876456881
2018-04-28,30.0,1.363393550893548
2018-04-29,33.0,-3.138597513597521
2018-04-30,28.0,5.000000000000002
2018-05-01,28.0,5.015565080081207
